date,ipc,ind_man,ind_com,ind_con,ind_ser,iae_np,ideac_ct,ideac_sb,base_mon,caja_bce,casa_osd,cuasidinero,dep_vista,din_elec,esp_mon_cir,liq_m2,mon_frac,mult_m1_bm,mult_m2_bm,ofer_m1,res_ban,agr_raw_mat,apsp_crude,coal,energy,fertil,food_bever,ind_materials,metal,natural_gas,non-fuel,precious_metals,wti_price,pib_nom_USDK,pib_real_USDK,loan_rate,deposit_rate,credit_priv_USDM,CPI_US,TNX,pos_divisas,oro_monetario,DEGs,pos_reserva_FMI,pos_ALADI,pos_sucre,res_internacional,ipp,ipcons
2004-01-01,65.95,102.87059433543614,103.50982502385035,96.53376611300936,106.31900528397547,101.96712327441169,77.74884124,74.17589413,2648.634643,84.67,193.89,3323.74,1780.53,,2016.394643,7170.624643,49.96,1.452403,2.707291,3846.884643,303.72,83.777162968253,68.0480351239551,60.873708307214,86.2447986177219,71.2541791831153,71.5868693282875,69.86648034863,64.3373029482353,131.246342017496,64.0520293611055,35.4215870284139,34.31,8507015.666666666,10907805.0,44.69,19.52,4761.53,186.3,4.1505,868.32,337.7,10.43,25.41,-1.44,,1240.42,61.89,141.53
2004-02-01,66.4,106.41680478104452,104.17868044347286,97.21190604959057,107.27670031523712,103.4012633796962,78.39919275,70.4016384,2674.554642,78.43,221.31,3401.87,1808.44,,2007.814642,7269.224642,51.1,1.445981,2.71792,3867.354642,315.9,85.7337173020849,67.8484504622014,64.7075321806326,84.3168237702876,70.4799634582899,72.1129589869779,72.8197498564409,67.6867438852486,121.160793455228,64.9730462698025,34.9029603742751,34.69,8678144.333333334,10999608.0,48.89,19.3,4772.3,186.7,4.084210526315789,844.86,334.41,2.93,25.39,-1.02,,1206.57,63.92,144.85
2004-03-01,66.87,107.84448538725356,105.79356567333738,97.57927054356632,106.91913579841048,104.14238110579777,78.89362097,82.95346328,2560.377642,87.69,225.68,3440.12,1925.67,,1953.407642,7371.867642,52.67,1.535612,2.879211,3931.747642,240.93,85.3346979693948,74.0579517819617,70.3957922357546,87.7644259334802,67.9111509270593,76.2215023415986,72.6467602528051,67.6035959165546,121.828486682561,67.0764179626909,35.6395373658884,36.74,8849273.0,11091411.0,56.67,22.44,4821.06,187.1,3.826521739130435,752.6,357.93,47.35,25.39,-1.65,,1181.62,65.59,149.13
2004-04-01,67.3,108.42030032075121,105.4246850855946,97.29607857888413,107.21549342115284,104.17685980074874,79.22069288,79.76443314,2574.293642,57.84,194.08,3541.34,1851.59,,2032.113642,7478.443642,53.4,1.529392,2.905047,3937.103642,236.86,85.0704552912179,74.8262904435474,77.3791429032767,89.6817373453754,66.5174938593284,77.4836976737262,71.5958334907425,66.2399802680577,127.726949722917,67.3451753388632,35.3828468578646,36.75,8913380.666666666,11155123.666666666,41.02,16.96,4972.06,187.4,4.347619047619047,867.16,328.21,17.29,24.9,-1.5,,1236.06,65.24,152.82
2004-05-01,66.98,106.55149412615337,105.37873365287835,97.8541817435593,107.6197266128714,103.98203943708982,79.41223888,76.05367293,2665.753688,108.095541,214.15,3536.06,1944.97,,2018.533101,7553.700747,54.137646,1.507131,2.833608,4017.640747,270.8374,87.956892930219,83.7384085520121,83.93912636136,98.3909015313758,65.3598503903896,78.5031610984843,69.587428269106,62.2859872371398,135.881305272006,66.8539054061297,33.1239579168664,40.28,8977488.333333334,11218836.333333334,53.43,20.08,5019.28,188.2,4.7155000000000005,866.9,332.21,10.23,25.19,-1.55,,1232.98,64.59,157.37
2004-06-01,66.78,108.25297836942354,106.77463309665325,99.4900310691481,107.79154832324251,105.24302136226378,79.50713305,74.72836343,2711.376922,146.106852,223.9,3581.64,1954.41,,2033.26579,7624.315338,54.999548,1.491005,2.811972,4042.675338,253.104732,87.2373291327675,78.64642038632,94.070386451261,96.1143928148218,69.2155165940866,75.5339872143666,71.7113938520581,65.54019055302,136.810898035532,66.1335040162515,33.6520286191638,38.03,9041596.0,11282549.0,40.41,15.35,5122.82,188.9,4.733809523809524,849.38,334.37,10.22,25.17,-2.32,,1216.81,64.18,158.8
2004-07-01,66.36,109.68179431289789,107.85636285678692,98.43251078941368,106.99141917539988,105.32452542813323,79.54257176,78.62591024,2672.719094,120.823423,193.64,3655.11,1968.72,,2072.938219,7752.24639,55.478171,1.532947,2.900509,4097.13639,229.839281,84.7606412943661,83.295592001322,100.083667620248,100.314009100359,74.8998913841518,73.030535446889,73.0040519048265,68.3310771748399,134.223455812953,65.4885118903249,34.1768795432889,40.78,9096887.0,11322795.666666666,38.39,14.88,5275.34,189.1,4.498095238095239,947.82,330.65,15.07,25.0,0.77,,1319.31,63.43,158.89
2004-08-01,66.38,110.73414434480294,107.81447388991512,97.36073733075689,108.30475269338679,105.5398671777465,79.56391183,78.93753483,2687.033775,117.61541,232.37,3725.93,2035.93,,2035.688232,7853.283969,55.735737,1.536026,2.922659,4127.353969,245.624396,84.2706200165706,93.0692016215837,94.6754483193668,106.305663829469,78.1945354946765,69.3608952833819,71.59245352629,66.5531730284649,127.933373390235,63.438348847102,34.5927922982636,44.9,9152178.0,11363042.333333334,53.67,18.05,5419.57,189.2,4.281363636363636,1018.24,344.04,2.93,25.05,-19.52,,1370.74,63.04,159.83
2004-09-01,66.53,112.2703330265713,108.34512380302229,98.02997756814365,109.00670295560248,106.3891832847314,79.60900889,72.34529523,3110.019873,333.020018,258.42,3702.29,2025.8,,2124.940624,7907.395183,54.364559,1.352115,2.542555,4205.105183,339.274672,84.150219584643,91.875716794819,89.6758953304044,104.624323284558,78.8748076591263,70.1046735581179,71.9570292737145,67.1105156877605,127.135390859198,63.9786706668369,34.8185921858937,45.94,9207469.0,11403289.0,34.4,14.05,5564.27,189.8,4.1257142857142854,1152.57,351.13,0.61,25.19,1.33,,1530.84,64.24,160.29
2004-10-01,66.72,113.09456646407065,109.61962769539369,98.24867090378055,109.09593982339275,106.95971801236452,79.71620935,83.92943725,2937.814926,120.059949,238.74,3834.03,1991.75,,2179.905693,8060.822768,55.137075,1.438754,2.743816,4226.792768,343.972209,83.6751856429655,102.440188531643,89.6126845775913,118.034337606689,83.6684713045914,69.2910459412705,74.0161408949574,70.1768920679624,148.381166226997,64.51974072787,36.1292320536271,53.28,9302753.666666666,11478679.666666666,37.99,14.89,5750.48,190.8,4.0969999999999995,1214.31,359.5,14.67,25.71,0.35,,1614.54,63.74,162.58
